sample	date
OtsAC19ROGR_0001	3/19/19
OtsAC19ROGR_0002	4/3/19
OtsAC19ROGR_0003	4/15/19
OtsAC19ROGR_0004	4/15/19
OtsAC19ROGR_0005	4/16/19
OtsAC19ROGR_0006	4/16/19
OtsAC19ROGR_0007	4/16/19
OtsAC19ROGR_0008	4/16/19
OtsAC19ROGR_0009	4/17/19
OtsAC19ROGR_0010	4/18/19
OtsAC19ROGR_0011	4/18/19
OtsAC19ROGR_0012	4/18/19
OtsAC19ROGR_0013	4/18/19
OtsAC19ROGR_0014	4/20/19
OtsAC19ROGR_0015	4/20/19
OtsAC19ROGR_0016	4/21/19
OtsAC19ROGR_0017	4/21/19
OtsAC19ROGR_0018	4/21/19
OtsAC19ROGR_0019	4/21/19
OtsAC19ROGR_0020	4/21/19
OtsAC19ROGR_0021	4/21/19
OtsAC19ROGR_0022	4/21/19
OtsAC19ROGR_0023	4/21/19
OtsAC19ROGR_0024	4/22/19
OtsAC19ROGR_0025	4/22/19
OtsAC19ROGR_0026	4/22/19
OtsAC19ROGR_0027	4/22/19
OtsAC19ROGR_0028	4/22/19
OtsAC19ROGR_0029	4/23/19
OtsAC19ROGR_0030	4/23/19
OtsAC19ROGR_0031	4/23/19
OtsAC19ROGR_0032	4/24/19
OtsAC19ROGR_0033	4/24/19
OtsAC19ROGR_0034	4/24/19
OtsAC19ROGR_0035	4/25/19
OtsAC19ROGR_0036	4/25/19
OtsAC19ROGR_0037	4/25/19
OtsAC19ROGR_0038	4/26/19
OtsAC19ROGR_0039	4/26/19
OtsAC19ROGR_0040	4/26/19
OtsAC19ROGR_0041	4/26/19
OtsAC19ROGR_0042	4/26/19
OtsAC19ROGR_0043	4/27/19
OtsAC19ROGR_0044	4/27/19
OtsAC19ROGR_0045	4/30/19
OtsAC19ROGR_0046	4/30/19
OtsAC19ROGR_0047	5/1/19
OtsAC19ROGR_0048	5/1/19
OtsAC19ROGR_0049	5/1/19
OtsAC19ROGR_0050	5/1/19
OtsAC19ROGR_0051	5/2/19
OtsAC19ROGR_0052	5/2/19
OtsAC19ROGR_0053	5/4/19
OtsAC19ROGR_0054	5/9/19
OtsAC19ROGR_0055	5/9/19
OtsAC19ROGR_0056	5/9/19
OtsAC19ROGR_0057	5/10/19
OtsAC19ROGR_0058	5/13/19
OtsAC19ROGR_0059	5/13/19
OtsAC19ROGR_0060	5/14/19
OtsAC19ROGR_0061	5/14/19
OtsAC19ROGR_0062	5/14/19
OtsAC19ROGR_0063	5/15/19
OtsAC19ROGR_0064	5/15/19
OtsAC19ROGR_0065	5/15/19
OtsAC19ROGR_0066	5/15/19
OtsAC19ROGR_0067	5/15/19
OtsAC19ROGR_0068	5/17/19
OtsAC19ROGR_0069	5/17/19
OtsAC19ROGR_0070	5/17/19
OtsAC19ROGR_0071	5/18/19
OtsAC19ROGR_0072	5/18/19
OtsAC19ROGR_0073	5/18/19
OtsAC19ROGR_0074	5/19/19
OtsAC19ROGR_0075	5/19/19
OtsAC19ROGR_0076	5/19/19
OtsAC19ROGR_0077	5/19/19
OtsAC19ROGR_0078	5/20/19
OtsAC19ROGR_0079	5/20/19
OtsAC19ROGR_0080	5/20/19
OtsAC19ROGR_0081	5/20/19
OtsAC19ROGR_0082	5/20/19
OtsAC19ROGR_0083	5/20/19
OtsAC19ROGR_0084	5/21/19
OtsAC19ROGR_0085	5/22/19
OtsAC19ROGR_0086	5/22/19
OtsAC19ROGR_0087	5/22/19
OtsAC19ROGR_0088	5/22/19
OtsAC19ROGR_0089	5/22/19
OtsAC19ROGR_0090	5/23/19
OtsAC19ROGR_0091	5/23/19
OtsAC19ROGR_0092	5/23/19
OtsAC19ROGR_0093	5/24/19
OtsAC19ROGR_0094	5/25/19
OtsAC19ROGR_0095	5/25/19
OtsAC19ROGR_0096	5/25/19
OtsAC19ROGR_0097	5/25/19
OtsAC19ROGR_0098	5/26/19
OtsAC19ROGR_0099	5/26/19
OtsAC19ROGR_0100	5/27/19
OtsAC19ROGR_0101	5/27/19
OtsAC19ROGR_0102	5/27/19
OtsAC19ROGR_0103	5/27/19
OtsAC19ROGR_0104	5/29/19
OtsAC19ROGR_0105	5/31/19
OtsAC19ROGR_0106	5/31/19
OtsAC19ROGR_0107	5/31/19
OtsAC19ROGR_0108	6/1/19
OtsAC19ROGR_0109	6/3/19
OtsAC19ROGR_0110	6/4/19
OtsAC19ROGR_0111	6/4/19
OtsAC19ROGR_0112	6/4/19
OtsAC19ROGR_0113	4/18/19
OtsAC19ROGR_0114	4/19/19
OtsAC19ROGR_0115	6/5/19
OtsAC19ROGR_0116	6/5/19
OtsAC19ROGR_0117	6/6/19
OtsAC19ROGR_0118	6/7/19
OtsAC19ROGR_0119	6/8/19
OtsAC19ROGR_0120	6/10/19
OtsAC19ROGR_0121	6/10/19
OtsAC19ROGR_0122	6/11/19
OtsAC19ROGR_0123	6/11/19
