JW 	discharge_2020	discharge_2019	temp_2020	temp_2019	n_2019	cumsum_2019
9	2615.714286	34166.66667	8.185714286	6.066666667	0	0
10	2417.142857	9321.428571	9.014285714	7.257142857	0	0
11	2342.857143	6677.142857	9.185714286	8.471428571	0	0
12	2252.857143	7244.285714	10.41428571	9.557142857	1	1
13	2714.285714	5671.428571	10.31428571	10.02857143	0	1
14	3772.857143	18998.57143	9.857142857	10.78571429	1	2
15	2615.714286	31185.71429	13.91428571	9.557142857	2	4
16	2088.571429	10772.85714	14.95714286	11.61428571	26	30
17	2378.571429	7151.428571	16.27142857	13.88571429	16	46
18	2668.571429	5821.428571	16.27142857	13.9	9	55
19	3507.142857	5000	16.44285714	16.35714286	6	61
20	4102.857143	5051.428571	14.24285714	14.25714286	24	85
21	3634.285714	4204.285714	15.95714286	15.18571429	20	105
22	3871.428571	4081.428571	18.55714286	18.37142857	6	111
23	3604.285714	3994	17.51428571	17.83333333	10	121
24	3558.333333	3688.571429	17.21428571	19.72857143	12	133
25	3478.571429	3381.428571	19.24285714	19.25714286	12	145
26	2757.142857	2945	21.08571429	18.35	13	158
27	2224.285714	2444	20.55714286	21	4	162
